,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
aVoltage_L2_N_welch_peak_power,0.007204671373897504,0.0006354810462678717,0.21640312867193506,83.0,105.0,65.0,84.33333333333333
aPowerFactorPF_L2_trend_slope,0.00854864952743488,0.0009752809611616176,0.01803561145616785,59.0,93.0,107.0,86.33333333333333
aVoltage_L1_N_spectral_peak,0.0068059928623042144,0.0,0.22300675707050482,88.0,117.0,54.0,86.33333333333333
rTotalApparentEnergy_dominant_frequency,0.0028830059907417904,0.002275856585343128,0.10057968789183494,105.0,68.0,87.0,86.66666666666667
aVoltage_L3_N_skew,0.008266056470699487,0.0006735007745259924,0.07331603307441874,64.0,102.0,94.0,86.66666666666667
aVoltage_L3_N_spectral_peak,0.007014328292824545,0.0,0.22196438861400222,87.0,117.0,56.0,86.66666666666667
aVoltage_L2_N_skew,0.008294472695438718,0.0006435631530568031,0.07272384103251714,63.0,103.0,95.0,87.0
aPowerFactorPF_L2_dominant_frequency,0.004553849787802437,0.001618670605262329,0.10033799517917234,97.0,79.0,88.0,88.0
aCosPhi_L3_trend_slope,0.008002302711702262,0.0014732714535332647,0.002092580113497405,70.0,84.0,112.0,88.66666666666667
airTotal_skew,0.0080360868337301,0.0011205548585579983,0.005930496203612021,69.0,90.0,109.0,89.33333333333333
aVoltage_L1_N_skew,0.008344040098647134,0.00013473758503534938,0.07140391213882692,62.0,112.0,97.0,90.33333333333333
aCosPhi_L1_trend_slope,0.007945133310041718,0.0012394283611745216,0.0016168377390330692,71.0,88.0,113.0,90.66666666666667
aCosPhi_L3_dominant_frequency,0.003635204893619087,0.0015575035509769464,0.07960784782207002,100.0,81.0,92.0,91.0
aCosPhi_L1_dominant_frequency,0.0031048752979477047,0.0017497792354561614,0.07492334364842199,104.0,76.0,93.0,91.0
aVoltage_L2_N_trend_slope,0.007428936431427261,0.00028724486478637345,0.03065225996365925,78.0,109.0,104.0,97.0
aCosPhi_L2_dominant_frequency,0.004763640490355154,0.0005333661678559309,0.08584223616498712,94.0,107.0,90.0,97.0
rTotalApparentEnergy_skew,0.00723317103827957,0.0007528457500109997,0.001227900487768872,81.0,99.0,114.0,98.0
aVoltage_L1_N_trend_slope,0.007515934254959488,0.0,0.03227562454604026,75.0,117.0,103.0,98.33333333333333
aVoltage_L3_N_trend_slope,0.00759183663753404,0.0,0.030283908683374716,74.0,117.0,105.0,98.66666666666667
rTotalApparentEnergy_welch_total_power,0.004607748941501727,0.0,0.10617840319265895,96.0,117.0,85.0,99.33333333333333
aVoltage_L3_N_dominant_frequency,0.003296650786165135,0.0008270994909795881,0.044714244613580166,102.0,97.0,100.0,99.66666666666667
rTotalReactiveEnergy_skew,5.210137471003731e-05,0.0016211258987472998,0.003930466070571407,114.0,78.0,111.0,101.0
aVoltage_L2_N_dominant_frequency,0.0033246239851693203,0.0005397263817856768,0.04305756385167286,101.0,106.0,101.0,102.66666666666667
aVoltage_L1_N_dominant_frequency,0.003277770377382405,0.0006421847537210201,0.04257302923482498,103.0,104.0,102.0,103.0
