,Random Forest,Mutual Information,PCA Loading,Random Forest_rank,Mutual Information_rank,PCA Loading_rank,mean_rank
rTotalApparentEnergy_welch_total_power,0.007787801925132763,0.0030997624432735904,0.05276200152003321,74.0,80.0,100.0,84.66666666666667
aVoltage_L2_N_skew,0.007860879448328762,0.0013350588822331755,0.17987042476117418,72.0,101.0,81.0,84.66666666666667
aCosPhi_L3_dominant_frequency,0.004045663309689735,0.004351132072950348,0.05475338446123503,100.0,60.0,98.0,86.0
rTotalReactiveEnergy_ks_test_statistic,0.0,0.02399187277752657,0.0,117.5,22.0,118.5,86.0
aVoltage_L1_N_welch_peak_power,0.007164762087622366,0.0014034135740144116,0.21596624580352453,86.0,100.0,72.0,86.0
aPowerFactorPF_L2_dominant_frequency,0.0048365804599929205,0.0035646778243270116,0.09862402332384827,98.0,73.0,89.0,86.66666666666667
aVoltage_L2_N_welch_peak_power,0.007136675502170389,0.0017253473837794964,0.2098526753517555,87.0,97.0,77.0,87.0
aVoltage_L3_N_skew,0.00783466746243466,0.0009281665836629038,0.18051047108526058,73.0,108.0,80.0,87.0
rTotalApparentEnergy_spectral_flatness,0.007525677446669897,0.0020651837978553633,0.09626793367174787,77.0,94.0,90.0,87.0
rTotalApparentEnergy_freq_energy_ratio_low_high,0.007515101047054443,0.002479449836522152,0.061791893789711436,79.0,86.0,97.0,87.33333333333333
aVoltage_L1_N_skew,0.008022397723488797,0.0002959324130078489,0.1718017725077204,67.0,113.0,83.0,87.66666666666667
aCosPhi_L3_trend_slope,0.007615197266633098,0.0034005117594928524,0.0032998716295642846,76.0,76.0,114.0,88.66666666666667
rTotalApparentEnergy_welch_peak_power,0.007919607390876488,0.0006555792670570604,0.1501858152619911,71.0,110.0,85.0,88.66666666666667
aVoltage_L3_N_spectral_peak,0.006636622912604136,0.0005191566848179452,0.22203018970049163,94.0,111.0,63.0,89.33333333333333
aCosPhi_L1_trend_slope,0.00802042197690628,0.0021492377914935634,0.007055008696641221,68.0,91.0,112.0,90.33333333333333
aVoltage_L1_N_spectral_peak,0.006912305481893205,0.0,0.22157317549700598,92.0,117.5,64.0,91.16666666666667
aVoltage_L2_N_spectral_peak,0.006947902523908764,0.0,0.2212641492077725,91.0,117.5,66.0,91.5
aPowerFactorPF_L2_trend_slope,0.008004758979291515,0.0015220455305999803,0.014020508260153561,69.0,99.0,108.0,92.0
aVoltage_L3_N_welch_peak_power,0.007100008166741214,0.0,0.20933623625312353,88.0,117.5,79.0,94.83333333333333
aCosPhi_L2_trend_slope,0.00809775089912823,0.0010562431189287125,0.005691701323920739,66.0,106.0,113.0,95.0
aVoltage_L2_N_trend_slope,0.007517517866264685,0.0,0.04343143887870836,78.0,117.5,102.0,99.16666666666667
aVoltage_L3_N_trend_slope,0.007439850486722907,0.0005183756660316341,0.04335100972043303,83.0,112.0,103.0,99.33333333333333
rTotalApparentEnergy_dominant_frequency,0.0026358459338585286,0.0012157018551477439,0.08827277055698002,106.0,103.0,92.0,100.33333333333333
aVoltage_L1_N_trend_slope,0.007420924218813145,0.0,0.04531370666570418,84.0,117.5,101.0,100.83333333333333
rTotalApparentEnergy_skew,0.007004663494792137,0.0009752010517976029,0.009845233455347128,89.0,107.0,110.0,102.0
aVoltage_L3_N_dominant_frequency,0.0036033117783175524,0.0017250779347692813,0.022712724380097558,103.0,98.0,106.0,102.33333333333333
aVoltage_L1_N_dominant_frequency,0.003691259761981673,0.001192434527033548,0.01979541588458534,102.0,104.0,107.0,104.33333333333333
aCosPhi_L1_dominant_frequency,0.003961724925365967,9.516848494972585e-05,0.03162289644005879,101.0,114.0,104.0,106.33333333333333
aVoltage_L2_N_dominant_frequency,0.0034592122671632452,0.0,0.02413065788218305,105.0,117.5,105.0,109.16666666666667
rTotalReactiveEnergy_skew,0.00013463154103458786,0.0011790831713294203,0.007589054600991274,113.0,105.0,111.0,109.66666666666667
