number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_scale_pos_weight,params_subsample,state
10,0.13981923440518365,2025-10-18 15:07:41.550007,2025-10-18 15:07:46.420895,0 days 00:00:04.870888,1.8153295905650353,0.5061555847824687,0.5134813036106443,0.6673975881116181,0.9695371107878658,4.701219773718164,0.18001237279138718,5,7,300,9.22647334791915,0.8052793858315317,COMPLETE
11,0.15311733526474897,2025-10-18 15:07:46.421340,2025-10-18 15:07:53.164774,0 days 00:00:06.743434,0.6035974951307923,0.6728468726241332,0.5912082262015405,0.6383586962140074,0.49690008077405257,4.112320253004816,0.1471384485845899,4,1,250,13.351448115720167,0.9827665467169795,COMPLETE
12,0.12215737980555286,2025-10-18 15:07:53.165442,2025-10-18 15:07:54.165012,0 days 00:00:00.999570,1.570963720334622,0.7085380302401273,0.7736049590639162,0.6324335172974407,0.9853286077756289,3.4189641333141223,0.057860130422292086,4,2,500,11.563689399084042,0.9909845074051796,COMPLETE
13,0.15194532556917922,2025-10-18 15:07:54.165429,2025-10-18 15:08:03.717043,0 days 00:00:09.551614,0.6893725291569489,0.888138657022044,0.596609562772596,0.5824923116775692,0.49482271533226097,1.4260756738084828,0.060904876421996615,4,1,100,7.209483025031477,0.6924839515611932,COMPLETE
14,0.15768591136260754,2025-10-18 15:08:03.717478,2025-10-18 15:08:12.678108,0 days 00:00:08.960630,1.954532931190156,0.7238521455651894,0.7812564285126706,0.7277284557137742,0.601499059008226,2.5809709618830583,0.12752430660740724,2,5,350,14.682090736274873,0.8460594843941098,COMPLETE
15,0.15928394352197262,2025-10-18 15:08:12.678568,2025-10-18 15:08:23.623547,0 days 00:00:10.944979,1.3970154151944059,0.9069968527889157,0.5456179267791422,0.5140066497536874,0.8716548076772908,4.021770828227958,0.19139811198910528,5,3,250,9.9348251558107,0.7782623014568258,COMPLETE
16,0.158844511632273,2025-10-18 15:08:23.623980,2025-10-18 15:08:35.809861,0 days 00:00:12.185881,1.4922766196125352,0.9336953602399801,0.5717395426949409,0.5071776788106036,0.8590493476030844,3.9473837130135085,0.1901218437084157,5,3,300,9.607307271860485,0.7524108015256296,COMPLETE
17,0.15275524993550915,2025-10-18 15:08:35.810253,2025-10-18 15:08:39.629961,0 days 00:00:03.819708,1.4231899999038014,0.5381981809196144,0.5510121508265181,0.5736306798333981,0.9001215087543667,4.7737977484528304,0.1521899590788916,5,6,400,7.860290007874633,0.6933145661944938,COMPLETE
18,0.14424443067953202,2025-10-18 15:08:39.630389,2025-10-18 15:09:11.221995,0 days 00:00:31.591606,1.7540482061151421,0.6610047659534061,0.7287086675172635,0.7146254450156772,0.359357017943966,4.019507906380754,0.1559961668265904,5,4,250,5.3955909119455425,0.5011299955045176,COMPLETE
19,0.1210125914036978,2025-10-18 15:09:11.222434,2025-10-18 15:09:13.724060,0 days 00:00:02.501626,1.2891803719820105,0.7642732090944508,0.8202650666828152,0.5795272695932427,0.8232405289954847,3.5031122233487464,0.19604105543535935,4,2,450,10.918514510669858,0.8092588185279126,COMPLETE
