Feature,Importance
rTotalApparentEnergy_range,26.500638961791992
aCurrentL3_diff_std,25.883493423461914
aCurrentL3_mean,25.76430320739746
rTotalApparentEnergy_mean,24.972427368164062
aVoltage_L3_N_std,24.67120933532715
aCurrentL1_mean,24.633588790893555
aActivePower_L3_diff_mean,24.399398803710938
rTotalReactivePower_z_score,24.251811981201172
aVoltage_L2_N_trend_slope,23.822404861450195
aApparentPower_L1_z_score,23.595123291015625
aCurrentL2_max,23.43233299255371
rTotalActivePower_skew,23.372163772583008
aVoltage_L1_N_max,23.224496841430664
aActivePower_L1_diff_mean,23.164216995239258
rTotalApparentPower_diff_std,22.0798397064209
aCurrentL1_max,22.039081573486328
aCurrentL3_max,21.502655029296875
rTotalReactiveEnergy_diff_mean,20.262495040893555
rTotalReactivePower_skew,19.558671951293945
aReactivePower_L3_trend_slope,19.512977600097656
aCosPhi_L2_z_score,18.985763549804688
rTotalReactiveEnergy_change_point_score,18.608646392822266
rTotalReactiveEnergy_spike_count,18.114910125732422
aReactivePower_L2_diff_mean,17.575424194335938
rTotalActivePower_std,17.40543556213379
rTotalReactivePower_spike_count,16.783458709716797
aCurrentL3_range,16.498308181762695
aApparentPower_L3_z_score,16.312908172607422
aActivePower_L3_ks_test_statistic,15.802430152893066
aVoltage_L2_N_min,15.405413627624512
rTotalReactivePower_trend_slope,15.318551063537598
aPowerFactorPF_L2_std,15.241663932800293
aActivePower_L1_mean,14.815938949584961
rTotalApparentEnergy_min,14.765070915222168
rTotalApparentEnergy_max,14.351292610168457
aReactivePower_L1_diff_mean,13.20775032043457
aApparentPower_L1_skew,13.045592308044434
aCosPhi_L3_z_score,12.980196952819824
aCurrentL1_range,11.709979057312012
aCosPhi_L1_z_score,9.8799467086792
rTotalReactiveEnergy_z_score,9.837547302246094
rTotalActivePower_trend_slope,8.722498893737793
rTotalReactiveEnergy_range,8.265767097473145
rTotalApparentPower_skew,8.005684852600098
aActivePower_L1_skew,7.380037307739258
aVoltage_L2_N_diff_mean,7.294961929321289
aApparentPower_L2_abs_energy,7.206915378570557
aVoltage_L1_N_mean,6.999388217926025
aCurrentL2_range,6.954427719116211
aActivePower_L1_diff_std,6.123819828033447
aActivePower_L2_diff_mean,5.8364739418029785
airTotal_max,5.783835411071777
aCosPhi_L3_abs_energy,5.511213302612305
aApparentPower_L3_abs_energy,5.349793910980225
aActivePower_L2_z_score,5.319060325622559
aCosPhi_L1_abs_energy,5.16696310043335
aReactivePower_L3_ks_test_statistic,5.164088249206543
aActivePower_L3_z_score,5.144153594970703
aApparentPower_L2_z_score,4.86164665222168
aVoltage_L1_N_diff_std,4.857669353485107
rTotalApparentEnergy_std,4.853635311126709
aReactivePower_L1_z_score,4.743409156799316
rTotalReactivePower_ks_test_statistic,4.734251022338867
aCurrentL1_std,4.549266338348389
aReactivePower_L2_z_score,4.4949951171875
aVoltage_L3_N_trend_slope,4.41256856918335
aCurrentL3_std,4.241014003753662
rTotalApparentPower_spike_count,4.184244632720947
aApparentPower_L1_spike_count,4.184188365936279
aPowerFactorPF_L2_max,4.143636226654053
aCosPhi_L2_abs_energy,3.5257339477539062
aCurrentL2_std,3.3520357608795166
rTotalActivePower_ks_test_statistic,2.9860148429870605
