feature,ks_statistic,p_value,is_drifted,mean_train,std_train,min_train,max_train,median_train,q25_train,q75_train,skew_train,mean_val,std_val,min_val,max_val,median_val,q25_val,q75_val,skew_val,mean_rel_diff,std_rel_diff
rTotalApparentPower,0.10471000000000003,0.0,True,2675.8020697300003,781.7443924939018,713.093,5071.28,2913.87,2702.9049999999997,3096.7125,-1.635356829767254,2605.1333511000003,778.1360462679257,706.932,5494.56,2841.03,2629.9175,3032.4525,-1.5285262187208712,0.026410293731803088,0.004615762211505849
aPowerFactorPF_L1,0.09115000000000001,0.0,True,0.5376409530799999,0.11302800693764153,0.283119,0.897533,0.535215,0.434883,0.61219475,0.4830527050378519,0.5496022464299999,0.10193047545563744,0.307932,0.896583,0.550594,0.47514900000000004,0.60697275,0.3827332550597808,0.022247734401554777,0.0981838997328131
aApparentPower_L1,0.08938000000000001,0.0,True,880.4886160600003,286.48896433442206,190.057,1666.16,960.5215000000001,905.11825,1015.28,-1.5345047068627227,863.8429282900001,292.88707180489695,193.902,1712.23,950.4705,873.104,1009.2525,-1.3863221477756162,0.018905057335433795,0.022332823482802522
aActivePower_L1,0.07865,1.8282728410448502e-269,True,467.67577293,199.80503183138492,119.768,1421.03,469.8615,379.46575,543.6487500000001,0.6222658514315945,473.75822344,205.26394757010934,119.71,1532.39,484.257,391.48749999999995,548.81425,0.43187276051035334,0.01300569937964339,0.027321212526108803
aPowerFactorPF_L2,0.06428999999999996,4.122701539361209e-180,True,0.5308130097799999,0.1897545024486103,0.131568,0.945242,0.5923745,0.367715,0.6786355,-0.17869817576876737,0.54645420663,0.1851079825832597,0.0850624,0.932775,0.5963315,0.39679475,0.689807,-0.26018469525058524,0.029466490585484742,0.024487005897206225
aCurrentL1,0.06345000000000003,1.922788431058567e-175,True,3.869640272389999,1.2674132626494563,0.814043,7.32231,4.219875,4.0006875,4.44414,-1.5316741964571,3.8319986228499996,1.3138073470321314,0.827832,7.64437,4.2162299999999995,3.90728,4.4647375,-1.3992304962201627,0.009727428596218467,0.036605332596597234
rTotalActivePower,0.051689999999999986,1.514735635924305e-116,True,1558.2627745300001,532.352351599224,525.179,3905.01,1582.415,1201.5175,1934.2725,-0.042359481549448186,1529.01917215,531.4950557950742,520.262,4187.8,1541.705,1205.3049999999998,1891.15,-0.07657524085024422,0.018766797781351614,0.0016103916918151866
celHum,0.05049999999999999,2.9382322630102545e-111,True,22.529467999999998,2.600204808784585,0.0,30.9,22.1,21.0,24.0,-0.249043270585378,22.831452000000002,2.322412260491896,15.3,30.5,22.1,21.1,24.3,0.6597451853287241,0.013403956092792112,0.10683487173234975
aActivePower_L2,0.048119999999999996,4.713505830363078e-101,True,475.5261887,243.87440026203828,117.726,2087.03,391.932,238.34825,716.756,0.232975565546089,487.92385526500004,245.98993630781783,90.2585,2051.12,411.5485,247.83999999999997,729.32825,0.23346181402146277,0.02607146958326788,0.00867469502096038
airDruck,0.04387999999999992,4.280070416356403e-84,True,6.4700771999999995,0.24165765459504954,0.0,7.25,6.45,6.29,6.61,0.32416264210829515,6.488247099999999,0.2704556780774403,4.84,7.26,6.46,6.29,6.64,0.5541415115011734,0.0028082972444156192,0.11916867412688185
aApparentPower_L2,0.04260999999999998,2.547770532569678e-79,True,896.5939823500001,269.21436447658164,194.773,2709.19,911.4855,829.28575,1103.7,-1.2237433576567722,891.66288071,270.08975113296316,212.49,2797.85,899.5835,825.93075,1096.63,-1.1709845059497797,0.005499815676902731,0.003251634280551749
airDurchfluss,0.041090000000000015,8.632826905031161e-74,True,3.2739374,3.3210772277110276,0.0,24.13,1.21,0.0,6.55,0.5387654914026716,3.2889775,3.3514494198220994,0.0,24.18,1.48,0.0,6.63,0.49499620088304375,0.0045938874561441976,0.009145283273208389
aCosPhi_L2,0.03990000000000005,1.3340817209329975e-69,True,0.7081196433300001,0.6118713557805351,-1.0,1.0,0.935667,0.87863075,0.959734,-2.389991962704818,0.69932186998,0.6230796843755328,-1.0,1.0,0.9382634999999999,0.87466375,0.961312,-2.3193407828792294,0.012424133843239241,0.018318112632546273
aReactivePower_L2,0.03351000000000004,3.2476127600861228e-49,True,158.38169086219403,113.58044440024301,-125.383,773.041,139.47,78.4255,258.35775,0.14323889357857023,158.2177163015826,111.04686459032743,-112.149,765.347,144.7885,83.337275,251.219,0.1186846751201554,0.0010353126027915747,0.02230647910448829
aCurrentL2,0.024639999999999995,8.378181296341265e-27,True,3.925664423670001,1.1881109488179182,0.839842,12.0628,3.971045,3.6387,4.8472025,-1.2094506340739029,3.9396584902700003,1.2125028432279628,0.902158,12.3901,3.961825,3.6539,4.870725,-1.1593034581114088,0.0035647638346195695,0.020529980158008675
celTemp,0.02393,2.6387187078890446e-25,True,24.950528000000002,4.025522496462998,0.0,25.6,25.6,25.6,25.6,-6.036866531535482,25.563136000000007,0.9707568537964036,0.0,25.6,25.6,25.6,25.6,-26.295753087728833,0.024552907247272524,0.7588494755058882
