number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_scale_pos_weight,params_subsample,state
31,0.0972426538207689,2025-10-18 13:46:27.481268,2025-10-18 13:46:29.015401,0 days 00:00:01.534133,0.5560302908003408,0.8095654424791872,0.9172740808655293,0.7701393063956274,0.7924144106616674,3.432786636797476,0.08570900066597413,3,9,200,8.779506276003534,0.941954624639947,COMPLETE
32,0.08553087225213038,2025-10-18 13:46:29.015788,2025-10-18 13:46:30.065400,0 days 00:00:01.049612,1.038640856740996,0.8534268250376243,0.9766355634416846,0.9987230060112434,0.63699943670976,3.4311745017986195,0.10583527742804552,3,9,250,11.105347708474248,0.9745525649861719,COMPLETE
33,0.0741348376243042,2025-10-18 13:46:30.065781,2025-10-18 13:46:31.746723,0 days 00:00:01.680942,0.8532255759047067,0.7787350608319896,0.9584820496373255,0.8074076094301014,0.8932078456752283,2.587933228820002,0.08627586863289927,3,10,200,9.762210779089504,0.8801001647160386,PRUNED
34,0.10463399945518338,2025-10-18 13:46:31.747120,2025-10-18 13:46:34.679353,0 days 00:00:02.932233,0.6984221620988723,0.8487369970211976,0.9986515614743173,0.8462091686190941,0.47826158373762756,4.351072499880556,0.07755798883462012,3,9,150,5.117951390724515,0.920948524277927,COMPLETE
35,0.0655228909006925,2025-10-18 13:46:34.679764,2025-10-18 13:46:34.920782,0 days 00:00:00.241018,0.23339890544672948,0.8464611341782633,0.9768518544586855,0.8501185055154301,0.19144059131830665,4.784635103872649,0.19784965771712856,3,8,150,5.133646684413479,0.9335842174735424,COMPLETE
36,0.08367395254152435,2025-10-18 13:46:34.921160,2025-10-18 13:46:35.596881,0 days 00:00:00.675721,1.0560183218985044,0.7389928657682999,0.9958313143479711,0.9624081624193809,0.47168278257557955,4.468973692352557,0.07650580787721323,3,7,150,6.935130889066322,0.6627383328643942,COMPLETE
37,0.0876206296526301,2025-10-18 13:46:35.597255,2025-10-18 13:46:37.635026,0 days 00:00:02.037771,0.4588254223219712,0.9516773669857308,0.6864843913709294,0.9101517129052297,0.246989038075087,3.853311057109334,0.13685839500564245,3,9,350,5.755503490325875,0.8743235004489843,COMPLETE
38,0.07923035506818264,2025-10-18 13:46:37.635451,2025-10-18 13:46:41.003442,0 days 00:00:03.367991,1.203622146706252,0.8237579061333389,0.8952120952955284,0.6698432334811609,0.36784519577038366,4.397497565509133,0.12142265021269076,3,2,150,15.15153300367905,0.7877247119566427,PRUNED
39,0.10035358601904582,2025-10-18 13:46:41.003817,2025-10-18 13:46:44.897100,0 days 00:00:03.893283,0.04780599437463173,0.866880703952484,0.8589087428463152,0.5336571192674742,0.1152049662000662,0.3358765851557806,0.10412954887113349,3,8,100,5.8285206443900766,0.9159528436694833,COMPLETE
40,0.07763779294448801,2025-10-18 13:46:44.897520,2025-10-18 13:46:49.487594,0 days 00:00:04.590074,0.9817362673160248,0.9975147632293109,0.9644727830219932,0.8802513641745248,0.2959244479084907,2.7871529430010518,0.04673074952857184,3,2,100,17.863897661579372,0.8379124271253836,COMPLETE
41,0.08751858790400231,2025-10-18 13:46:49.487974,2025-10-18 13:46:50.668252,0 days 00:00:01.180278,0.6318593990693464,0.8132124957513215,0.9161122131409621,0.7854448270223519,0.5982575980978729,3.4969434302242446,0.09488033854798977,3,9,200,8.249327673960996,0.9658685203889379,COMPLETE
42,0.09572037381139246,2025-10-18 13:46:50.668664,2025-10-18 13:46:54.953029,0 days 00:00:04.284365,0.726302369956752,0.789834651641339,0.9973507281510979,0.8324687763253387,0.745751253036885,3.080499156625676,0.08333392702296993,3,10,250,12.027190334729994,0.9619700009795801,COMPLETE
43,0.10455985660719856,2025-10-18 13:46:54.953645,2025-10-18 13:47:01.755040,0 days 00:00:06.801395,0.31724929525295853,0.7585689102628292,0.9321413685117392,0.7448448752305934,0.6704673807110935,2.2017101126000163,0.062192277570279154,3,9,150,13.341426174961583,0.9432961326059819,COMPLETE
44,0.07049994267449254,2025-10-18 13:47:01.755623,2025-10-18 13:47:14.623245,0 days 00:00:12.867622,0.3082144712980482,0.7587917219547898,0.9436858864214904,0.9443448365093672,0.5618061179386966,2.2222929489908014,0.05997340734845153,4,10,150,13.117550482783665,0.9271431773830193,COMPLETE
45,0.10612474195513427,2025-10-18 13:47:14.623622,2025-10-18 13:47:15.972557,0 days 00:00:01.348935,0.17591740043645024,0.6575709052320177,0.6332940520308961,0.5652797132355152,0.6944264234320541,1.9876050800578635,0.05328916879254724,3,8,150,16.0422863971809,0.8808259346293672,COMPLETE
46,0.09133695350258111,2025-10-18 13:47:15.972921,2025-10-18 13:47:18.524036,0 days 00:00:02.551115,0.18905058304111189,0.5845410207440154,0.5521576825010692,0.5599045337979098,0.6837647340346423,1.8760420016229602,0.05346418360981092,3,7,350,16.130118084650064,0.9421989566100915,COMPLETE
47,0.08864268510742736,2025-10-18 13:47:18.524504,2025-10-18 13:47:21.035093,0 days 00:00:02.510589,0.07840965550801725,0.6320177617987468,0.674830718085984,0.5878615630504664,0.6757633037490592,1.555911328601041,0.04044293245039591,3,9,450,17.06921860964396,0.8659101151546181,COMPLETE
48,0.09148397887718422,2025-10-18 13:47:21.035492,2025-10-18 13:47:22.681053,0 days 00:00:01.645561,0.3249680035688286,0.6695248229522284,0.6213619717781171,0.6215501097185094,0.7432702329739125,2.33378631456315,0.05153664942470311,3,3,100,13.92378593256209,0.9024637962716975,COMPLETE
49,0.1098171317471734,2025-10-18 13:47:22.681476,2025-10-18 13:47:23.763481,0 days 00:00:01.082005,0.328928529920951,0.6583310968120074,0.5316971967365143,0.5094302520588048,0.9974769775100079,2.0477013852397805,0.06851213277138261,3,8,150,15.87962601718977,0.9779716615638292,COMPLETE
50,0.10137295786440899,2025-10-18 13:47:23.763884,2025-10-18 13:47:24.433725,0 days 00:00:00.669841,0.529386735091266,0.6040788027033535,0.5628177264719983,0.525002737228616,0.9432328909719194,1.9836155098928274,0.06921228249653599,2,5,250,15.757823357084183,0.9834266049529863,COMPLETE
51,0.06969388246139038,2025-10-18 13:47:24.434144,2025-10-18 13:47:24.641831,0 days 00:00:00.207687,0.3310439805100913,0.6398249279250859,0.5095368728898065,0.5174128013462275,0.8875482279638242,1.3514618528065587,0.06369823488128797,3,8,150,17.923971339729,0.9489044587075246,COMPLETE
52,0.06980005710888124,2025-10-18 13:47:24.642205,2025-10-18 13:47:24.867389,0 days 00:00:00.225184,0.2492733272471046,0.6902013493916789,0.6350571661687794,0.5492543141913532,0.951445583708154,2.878448126351228,0.05858814514679895,3,9,150,13.317220932338735,0.9143046302138768,COMPLETE
53,0.08819908390004041,2025-10-18 13:47:24.867805,2025-10-18 13:47:28.678432,0 days 00:00:03.810627,0.11503800837048278,0.6545412300973684,0.593469049059974,0.590349878971425,0.9977188825715856,1.6941153919083458,0.07441702354605075,3,7,100,16.89097423293181,0.6138054229815387,PRUNED
54,0.0908178870473068,2025-10-18 13:47:28.679035,2025-10-18 13:48:05.632636,0 days 00:00:36.953601,0.39606894621851224,0.6118382328990555,0.5392745772791825,0.5252240086993396,0.780005845044189,2.009934702267822,0.06636678524609001,3,8,200,14.58988926982222,0.9992533940889146,COMPLETE
55,0.09025460574132504,2025-10-18 13:48:05.633028,2025-10-18 13:48:06.264126,0 days 00:00:00.631098,0.5072136583099385,0.7200251184032431,0.590696544430053,0.6677652460578203,0.5011496729310378,2.452166705078053,0.07962969862250235,3,4,100,15.18275318095782,0.8898675947265992,COMPLETE
56,0.09010056254940661,2025-10-18 13:48:06.264522,2025-10-18 13:48:06.610090,0 days 00:00:00.345568,0.17703364384024384,0.933328847675314,0.6562253586624457,0.5628539931583041,0.8691384859821026,0.38437031249334996,0.04991757651965,3,7,200,10.421297690490041,0.8338558129593534,COMPLETE
57,0.09120445231129322,2025-10-18 13:48:06.610524,2025-10-18 13:48:07.727369,0 days 00:00:01.116845,0.026030694426153356,0.714677823302398,0.7326730083656547,0.5112615617364082,0.6975538081141549,1.6910737228505244,0.04475752724740012,3,8,150,12.5342442363873,0.856593788761351,COMPLETE
58,0.0803709908879249,2025-10-18 13:48:07.727756,2025-10-18 13:48:10.050736,0 days 00:00:02.322980,0.6877211576972426,0.5604792539277953,0.7849565081271511,0.6085980030092438,0.5554763184700873,2.122349938156436,0.05667008664126642,4,10,100,13.711630168301996,0.9484991506189404,COMPLETE
59,0.09026879772234589,2025-10-18 13:48:10.051098,2025-10-18 13:48:16.926187,0 days 00:00:06.875089,0.8971622480868489,0.6808767982692625,0.6848764581559252,0.5793378494636588,0.9207786993399866,1.3618659654781147,0.07217300756249136,3,6,150,18.43535863421013,0.9803138446233964,COMPLETE
60,0.06292675817193909,2025-10-18 13:48:16.926595,2025-10-18 13:48:17.275207,0 days 00:00:00.348612,0.37269568591105307,0.8899498122531176,0.801371641212721,0.7368670807638698,0.81692208531095,0.7675526456500816,0.03479894548098406,2,5,200,16.604411887292688,0.9121764788912466,PRUNED
61,0.1097933956033502,2025-10-18 13:48:17.275555,2025-10-18 13:48:25.096347,0 days 00:00:07.820792,0.8140716142897826,0.7496324122263471,0.9670490766096159,0.541575050061297,0.41116339873914554,3.1866346487760504,0.061043978559467624,3,8,150,7.280940514252391,0.8834223132723931,COMPLETE
