number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_scale_pos_weight,params_subsample,state
21,0.16884922102046146,2025-11-12 06:06:19.138582,2025-11-12 06:06:20.507433,0 days 00:00:01.368851,0.628322196504138,0.9469245314753825,0.8184908793535408,0.6200714947944089,0.43961213692126455,4.023139406293355,0.06648681183717749,1,8,350,17.660682572544914,0.6874104399555551,PRUNED
22,0.17178805761517016,2025-11-12 06:06:20.507768,2025-11-12 06:06:21.899753,0 days 00:00:01.391985,0.7534505113660677,0.9434027983539727,0.9308988766229692,0.6788802179517095,0.8396799983063556,4.479233245551318,0.06600277345275493,1,9,400,16.042276001886492,0.6329166042345749,COMPLETE
23,0.1760736641692658,2025-11-12 06:06:21.900381,2025-11-12 06:06:25.154909,0 days 00:00:03.254528,0.868125601965004,0.8727658637419624,0.9763541488332149,0.702204755100373,0.8862117496966809,4.165590795060978,0.08555309644696261,1,9,400,13.845913420455222,0.6043747512378389,COMPLETE
24,0.17048461591128966,2025-11-12 06:06:25.155519,2025-11-12 06:06:27.630731,0 days 00:00:02.475212,1.1802586977715304,0.8077746926490634,0.9623658161086462,0.7837657915668639,0.8411774474927829,3.4328519151562142,0.1178976154678655,1,9,450,13.75591345390036,0.5930850116204562,COMPLETE
25,0.17214003637610037,2025-11-12 06:06:27.631188,2025-11-12 06:06:29.384231,0 days 00:00:01.753043,0.9671609594451791,0.8502847696043697,0.9799347626469139,0.5627946566279983,0.650290156909773,4.07871784941575,0.08623670893990419,1,7,450,11.678011355433705,0.6969524217972705,COMPLETE
26,0.1675112625192276,2025-11-12 06:06:29.384856,2025-11-12 06:06:31.105048,0 days 00:00:01.720192,0.8704017007736792,0.8808264572718972,0.9141908937193374,0.7505026631019919,0.9082456131535995,2.6018124052577267,0.10655949605945474,1,10,250,15.365685326172466,0.7948643265387825,COMPLETE
27,0.14540906013393834,2025-11-12 06:06:31.105538,2025-11-12 06:06:31.608319,0 days 00:00:00.502781,0.4212119053611021,0.773861452358245,0.8563871147515856,0.6097260401657191,0.7929331503284536,1.9507785094754544,0.14527595239905103,2,9,300,12.299939451379133,0.5961070245308178,COMPLETE
28,0.15647981322724985,2025-11-12 06:06:31.608759,2025-11-12 06:06:31.978465,0 days 00:00:00.369706,1.6435570602620304,0.7119755179977152,0.7710088864433875,0.8544805025394767,0.5538326471886973,4.876346549330929,0.05326011091332647,2,6,400,14.02059363275792,0.547718836199569,COMPLETE
29,0.01977396137679885,2025-11-12 06:06:31.979085,2025-11-12 06:06:33.449617,0 days 00:00:01.470532,0.14038662419823267,0.8750439344642857,0.8394260723135115,0.9899226356996808,0.9005018999230259,3.001109328074758,0.08988116036638616,3,10,150,19.9935101550224,0.8810417357913045,PRUNED
30,0.1604743963625684,2025-11-12 06:06:33.450202,2025-11-12 06:06:34.755443,0 days 00:00:01.305241,1.1509575672268921,0.9115738567674838,0.9909270315731907,0.6963672455616253,0.7077428239144136,4.37523281282389,0.07635066217780247,2,7,350,9.43974206769173,0.7313838629854439,COMPLETE
31,0.16435742202628711,2025-11-12 06:06:34.755817,2025-11-12 06:06:35.587595,0 days 00:00:00.831778,0.9095605844928062,0.8457585766139657,0.9668621343943086,0.5591646477997583,0.6405966235072525,3.924398041557186,0.08692437136085408,1,7,450,11.407474019343125,0.6895437635893121,COMPLETE
32,0.16482777369903445,2025-11-12 06:06:35.588041,2025-11-12 06:06:36.629478,0 days 00:00:01.041437,0.44772293329825064,0.8610867971258728,0.9160850168343346,0.5704012987094721,0.660310995069816,4.267715845772019,0.09031249672886404,1,8,450,11.418799262997533,0.6046682329305559,COMPLETE
33,0.16656053047141267,2025-11-12 06:06:36.629928,2025-11-12 06:06:37.441554,0 days 00:00:00.811626,1.039195835573752,0.8079226443159041,0.9767104513013717,0.5312693285620822,0.7628933869800777,3.195691518499303,0.07292841110022683,1,7,500,10.473463372711642,0.7115300699775415,COMPLETE
